版本,名称,日文,属性,获得方法,使用代码,图片,对目标,无目标,最新绿点
4.35,好热,暑がる,持续,从天之御柱获得天之陶器碎片进行交换<br/>海贼众的资材负责人(红玉海 X:21.2 Y:9.3)<br/>天之陶器碎片：10,/sweat,064367.tex,x感觉热意从x身上扑面而来。,觉得好热。,0
4.36,撩水,水をかける,通常,季节活动：红莲祭（2019）<br/>可等次年道具商城购买,/splash,064366.tex,向x撩起水花。,撩起了水花。,0
4.4,确认,確認,持续,运河宝物库神殿一定几率掉落,/confirm,064373.tex,x开始对x进行确认。,开始进行确认。,0
4.45,说明计划,企みを話す,通常,优雷卡：涌火之地<br/>【发生变异的爆炎上锁宝箱】一定几率开出,/scheme,064374.tex,向xx说明自己的计划。,讲起了自己的计划。,0
4.3,说明,説明,通常,"物资负责人(狼狱停船场 X:4.4 Y:6.1)兑换<br/>狼印战绩：15,000",/elucidate,064369.tex,对x进行了说明。,进行了说明。,0
*,打招呼,挨拶する,通常,千里急报<br/>主线任务Lv70,/greet,064361.tex,向x打招呼。,打了个招呼。,0
*,撒娇,おねだり,通常,官网道具商城购买,/prettyplease,064330.tex,向x撒起了娇。,撒起了娇。,0
*,装死,死んだふり,持续,官网道具商城购买,/playdead,064331.tex,开始在x面前装死。,开始装死。,0
*,托眼镜,眼鏡を正す,通常,"匿名信疑云<br/>支线任务Lv60<br/>特奥莫桑（伊修加德砥柱层 X:10.5 , Y:9.8）",/spectacles,064335.tex,在x面前调整了一下眼镜的位置。,调整了一下眼镜的位置。,0
*,行东方礼,東方風お辞儀,通常,失去斗志的协助者<br/>主线任务Lv62,/easternbow,064340.tex,恭敬地对x行了东方礼。,恭敬地行了东方礼。,0
4.36,练武,演舞,通常,官网道具商城购买,/crimsonlotus,064353.tex,在x面前练起武来。,开始练武。,0
*,练拳,格闘訓練,持续,新的冒险<br/>主线任务Lv70,/box,064348.tex,对x一个右直拳接一个左勾拳。,练起了拳。,0
*,深呼吸,深呼吸,持续,成就：大家的队长1<br/>派遣冒险者分队成功执行任务10次。,/breathcontrol,064344.tex,在x面前做起了深呼吸。,做起了深呼吸。,0
*,稍息,休め,持续,"各大国防联军的补给负责人处兑换<br/>军票：40,000",/atease,064347.tex,对x做出了稍息的姿势。,做出了稍息的姿势。,0
*,立正,気をつけ,持续,"各大国防联军的补给负责人处兑换<br/>军票：40,000",/attention,064346.tex,对x做出了立正的姿势。,做出了立正的姿势。,0
*,俯卧撑,腕立て伏せ,持续,成就：可靠的队长1<br/>完成10次分队攻略任务。,/pushups,064342.tex,在x面前做起了俯卧撑。,做起了俯卧撑。,0
*,仰卧起坐,腹筋運動,持续,成就：大家的队长1<br/>派遣冒险者分队成功执行任务10次。,/situps,064343.tex,在x面前做起了仰卧起坐。,做起了仰卧起坐。,0
*,深蹲,スクワット,持续,成就：大家的队长1<br/>派遣冒险者分队成功执行任务10次。,/squats,064341.tex,在x面前做起了深蹲。,做起了深蹲。,0
*,热身,ウォームアップ,通常,官网道具商城购买,/easternstretch,064092.tex,在x面前做起了热身动作。,做起了热身动作。,0
*,抱拳礼,抱拳礼,通常,官网道具商城购买,/easterngreeting,064088.tex,对x行了一个抱拳礼。,行了一个抱拳礼。,0
*,后空翻,宙返り,通常,官网道具商城购买,/backflip,064087.tex,给x做了一个后空翻。,做了一个后空翻。,0
*,投掷,投げる,通常,"冬日的活动<br/>支线任务Lv36<br/>马考林（库尔札斯中央高地 X:24.9 , Y:27.8）<br/>※在雪地使用投掷，可丢出雪球",/throw,064050.tex,向x投出了什么东西。,投出了什么东西。,0
*,帝国式军礼,帝国式敬礼,通常,另一类军礼<br/>主线任务Lv46,/imperialsalute,064066.tex,对x行帝国式军礼。,行帝国式军礼。,0
