日文,中文,获得方法,编号,类型,网易云,网易云类型（0无、2音乐、3电台）
雲蒸龍変,云蒸龙变,道具制作<br />主要素材：“青龙诗魂战”获得 <br />（以最低品级参加时获得概率上升）,36,5,1360993289,2
黒煙の戦い ～境界戦線 ギムリトダーク～,硝烟弥漫,“国境防线基姆利特暗区”获得,66,3,1360993288,2
ゲーム理論,游戏理论,金碟游乐场交换,18,10,34274391,2
東方遊戯,东方游戏,成就“运筹帷幄1”报酬,19,10,1391211249,2
静穏の森（Orchestral）,沉静（交响乐版）,道具商城购买或者作为商品附加特典道具获得,8,12,524151008,2
試練を超える力（Orchestral）,灾厄蔓延（交响乐版）,道具商城购买或者作为商品附加特典道具获得,9,12,525122029,2
不吉なる前兆（Orchestral）,凶兆（交响乐版）,道具商城购买或者作为商品附加特典道具获得,10,12,524151009,2
空より現れし者 ～次元の狭間オメガ：アルファ編～,从天而降,神拳痕等地交换,60,6,1360994167,2
ライツ（Chiptune）,英杰起义（芯片音乐版）,金碟游乐场交换,20,10,1340333159,2
月下彼岸花 ～蛮神ツクヨミ討滅戦～（Chiptune）,彼岸花开（芯片音乐版）,通过道具码获得,11,12,1340331915,2
龍の尾 ～神龍討滅戦～（Chiptune）,神龙见尾（芯片音乐版）,通过道具码获得,12,12,1340331910,2
ライズ ～機工城アレキサンダー：天動編～（THE PRIMALS）,起义（蛮荒神影）,通过道具码获得,13,12,566435015,2
忘却の彼方 ～蛮神シヴァ討滅戦～（GUNN Vocals）,忘却的彼岸（GUNN演唱版）,通过道具码获得,14,12,31560809,2
彩られし山麓 ～高地ドラヴァニア：昼～（Orchestral）,华彩的山麓（交响乐版）,道具商城购买或者作为商品附加特典道具获得,15,12,524152953,2
メビウス ～機工城アレキサンダー：天動編～（Orchestral）,无限循环（交响乐版）,道具商城购买或者作为商品附加特典道具获得,16,12,525127010,2
余光 ～ラールガーズリーチ：夜～,余光,神拳痕等地交换,57,1,864433978,2
忘れられた希望 ～ギラバニア辺境地帯：夜～,遗忘的希望,神拳痕等地交换,58,1,864434009,2
石の記憶 ～ギラバニア山岳地帯：夜～,铭记于石,神拳痕等地交换,59,1,864434011,2
古傷 ～ギラバニア湖畔地帯：夜～,古伤,神拳痕等地交换,60,1,864434013,2
調和,和谐,神拳痕等地交换,69,1,864433997,2
Gates of Paradise - The Garden of Ru'Hmet,乐园之门 - 茹美特庭园,“禁地优雷卡丰水之地”的上锁的宝箱中获得,24,10,475470,2
Onslaught,猛攻,“禁地优雷卡丰水之地”的上锁的宝箱中获得,25,10,475434,2
Turmoil,动荡,“禁地优雷卡丰水之地”的“巴尔德西昂兵武塔”获得,26,10,475446,2
贖いの果て ～絶バハムート討滅戦～,最终救赎,格里达尼亚旧街交换,16,6,864489031,2
Staff Credits,职员名单,任务报酬,40,6,1391211272,2
アルマのテーマ,阿鲁玛主题曲,任务报酬,41,6,1391211230,2
Under The Stars,繁星之下,“乐欲之所瓯博讷修道院”获得,42,6,1391211233,2
緊迫1,紧急1,“乐欲之所瓯博讷修道院”获得,43,6,1391211232,2
Antipyretic,退热剂,“乐欲之所瓯博讷修道院”获得,44,6,1391209558,2
異形の者,异形之人,“乐欲之所瓯博讷修道院”获得,45,6,1391211243,2
Ultema The Perfect Body!,阿尔蒂玛完美形态,“乐欲之所瓯博讷修道院”获得,46,6,1391209573,2
Hammerhead,锤头鲨,黑尘驿站及艾欧泽亚三国交换,16,11,443867026,2
Valse di Fantastica,幻想圆舞曲,黑尘驿站及艾欧泽亚三国交换,17,11,448722043,2
Relax and Reflect,休息与反省,黑尘驿站及艾欧泽亚三国交换,18,11,448724081,2
Veiled in Black,黑暗遮蔽,黑尘驿站及艾欧泽亚三国交换,19,11,448724044,2
APOCALYPSIS NOCTIS,夜之启示,黑尘驿站及艾欧泽亚三国交换,20,11,448724050,2
A Quick Pit Stop,快速加油,黑尘驿站及艾欧泽亚三国交换,21,11,448722037,2
龍の尾 ～神龍討滅戦～（Journeys）,神龙见尾（星海旅途）,通过道具码获得,17,12,1372736095,2
エスケープ ～次元の狭間オメガ：アルファ編～（Journeys）,逃亡（星海旅途）,通过道具码获得,18,12,1372736093,2
始まりの湖 ～レイクランド：昼～,始源湖,雷克兰德交换,4,2,1391211237,2
分かたれし世界 ～コルシア島：昼～,分隔的世界,珂露西亚岛交换,5,2,1391209569,2
琥珀の砂漠 ～アム?アレーン：昼～,琥珀沙漠,安穆·艾兰交换,6,2,1391209561,2
残忍と自由 ～イル?メグ：昼～,残忍与自由,伊尔美格交换,7,2,1391211238,2
シヴィライゼーションズ ～ラケティカ大森林：昼～,文明,拉凯提卡大森林交换,8,2,1391211240,2
五尋の深み,水深五寻,诺弗兰特的某处交换,9,2,1391211271,2
目覚めの御使い,天使醒来,道具制作<br />主要素材：“缇坦妮雅歼殛战”获得 <br />（以最低品级参加时获得概率上升）,37,5,1391209585,2
インサニティー,精神错乱,道具制作<br />主要素材：“无瑕灵君歼殛战”获得 <br />（以最低品级参加时获得概率上升）,38,5,1391211274,2
Shadowbringers,Shadowbringers　-暗影使者-,任务报酬,40,9,1391211269,2
Tomorrow and Tomorrow,明日与未来,任务报酬,47,9,1391209576,2
炎と剣によりて ～殺戮郷村 ホルミンスター～,烈火与利剑,“遇袭集落水滩村”获得,1,4,1391209577,2
虚構 ～水妖幻園 ドォーヌ?メグ～,虚构,“水妖幻园多恩美格禁园”获得,2,4,1391209574,2
紐解かれしもの ～古跡探索 キタンナ神影洞～,解读,“文明古迹奇坦那神影洞”获得,3,4,1391209578,2
深き底 ～爽涼離宮 マリカの大井戸～,幽深,“避暑离宫马利卡大井”获得,4,4,1391209588,2
獣の腹 ～偽造天界 グルグ火山～,凶兽腹中,“伪造天界格鲁格火山”获得,5,4,1391209589,2
死の刻 ～終末幻想 アーモロート～,末日时刻,“末日暗影亚马乌罗提”获得,6,4,1391211261,2
影なき影 ～創造機関 アナイダアカデミア～,无影之影,“创造机构阿尼德罗学院”获得,8,4,1391211255,2
ロングフォール ～異界遺構 シルクス?ツイニング～,一瞬千里,“异界遗构希尔科斯孪晶塔”获得,7,4,1391209583,2
アリエヌス ～巨砲要塞 カストルム?アバニア～,异形,“巨炮要塞帝国白山堡”获得,56,3,864434012,2
憤怒 ～盟友支援 ブレイフロクスの野営地～,愤怒,“纷争要地布雷福洛克斯野营地”获得,16,3,34274369,2
Force Your Way ～漆黒～,力战前行　～暗影～,“伊甸希望乐园 觉醒之章1～2”获得,10,7,1391211278,2
ランドスライド ～希望の園エデン：覚醒編～,地裂,“伊甸希望乐园 觉醒之章4”获得,12,7,1391209594,2
対峙,对峙,水晶都及游末邦交换,18,2,1391209562,2
貪欲,贪欲,“梦羽宝境”获得,14,4,1391209582,2
世界を照らす闇 ～クリスタリウム：昼～,照耀世界之暗,水晶都交换,1,2,1391211264,2
耽溺 ～ユールモア：昼～,耽溺,游末邦交换,2,2,1391209565,2
輝ける蒼 ～希望の園エデン：覚醒編～,耀眼浪苍,“伊甸希望乐园 觉醒之章3”获得,11,7,1391211276,2
知恵は眠らず ～クリスタリウム：夜～,智慧不眠,水晶都交换,10,2,1391209595,2
仮面舞踏会 ～ユールモア：夜～,假面舞会,游末邦交换,11,2,1391211267,2
不変と変化 ～レイクランド：夜～,不变与变化,雷克兰德交换,12,2,1391211260,2
クイックウェイ ～コルシア島：夜～,疾径,珂露西亚岛交换,13,2,1391211259,2
鮮血の砂漠 ～アム?アレーン：夜～,鲜血沙漠,安穆·艾兰交换,14,2,1391209571,2
妖精の輪 ～イル?メグ：夜～,妖精之环,伊尔美格交换,15,2,1391209568,2
望みなき競争 ～ラケティカ大森林：夜～,无望的竞争,拉凯提卡大森林交换,16,2,1391211251,2
冥き水底,幽冥水底,黑风海交换,17,2,1391211268,2
享楽の痛み,享乐之痛,任务报酬,3,2,1391211256,2
砕けぬ思い,不灭孤念,道具制作<br />主要素材：暗影篇主线剧情相关的高难度讨伐战“？？？？孤念歼灭战”获得 <br />（以最低品级参加时获得概率上升）,39,5,1391209587,2
花の館 ～魔法宮殿 グラン?コスモス～,华美宫殿,“魔法宫殿宇宙宫”获得,9,4,1937715485,2
リェー?メグの門,梦园之门,伊尔美格交换,19,2,1937718092,2
戦士の攻勢 ～PvPフロントライン～,攻势战场,狼狱水上竞技场交换,9,10,1937718091,2
戦士の守勢 ～PvPフロントライン～,守势战场,狼狱水上竞技场交换,10,10,1937718089,2
スターライト de チョコボ,陆行鸟星芒,季节任务报酬,22,11,1937715495,2
みんなでいれば怖くない,大家一起，无所畏惧,天穹街交换,48,1,41672505,2
意味／無,意义／无,任务报酬,1,7,468490563,2
遺サレタ場所／斜光,遗留之所／斜光,“复制工厂废墟”获得,2,7,468490564,2
終ワリノ音,终结之音,“希望之炮台：‘塔’”获得,28,7,468490606,2
還ラナイ声／ギター,不归之声／吉他,任务报酬,3,7,468490571,2
顕現シタ異物,异物显现,“复制工厂废墟”获得,4,7,468490603,2
イニシエノウタ／贖罪,远古之歌／赎罪,“复制工厂废墟”获得,5,7,468490599,2
双極ノ悪夢,双极的噩梦,“复制工厂废墟”获得,6,7,468490605,2
Weight of the World／Prelude Version,世界的重量／水晶序曲版,“复制工厂废墟”获得,7,7,1937718115,2
月読命之唄（Orchestral）,月读命之歌（交响乐版）,通过道具码获得,19,12,2116458538,2
龍の尾（Orchestral）,神龙见尾（交响乐版）,通过道具码获得,20,12,2116460890,2
Nail of the Heavens,天楔,乌尔达哈交换,28,10,537652,2
インペリウム,强权,乌尔达哈交换,29,10,1391211250,2
Blue Fields ～漆黒～,蓝色原野　～暗影～,任务报酬,9,7,1391211245,2
雷轟電撃 ～希望の園エデン：共鳴編～,雷轰电转,“伊甸希望乐园 共鸣之章1”获得,13,7,1937718122,2
原始の堕天使 ～希望の園エデン：共鳴編～,原始的堕天使,“伊甸希望乐园 共鸣之章2”获得,14,7,1937715513,2
忘却の此方 ～希望の園エデン：共鳴編～,忘却的此岸,“伊甸希望乐园 共鸣之章4”获得,15,7,1937715518,2
究極幻想（THE PRIMALS）,究极神兵（蛮荒神影）,道具制作<br />主要素材：“红宝石神兵狂想作战”获得 <br />（以最低品级参加时获得概率上升）,40,5,1832418221,2
乙女の哀歌,少女的哀歌,“名门府邸静语庄园”获得,5,3,28409351,2
ゼーメル要塞,泽梅尔要塞,“山中战线泽梅尔要塞”获得,8,3,28409368,2
底に潜みし者 ～黒風海底 アニドラス?アナムネーシス～,潜伏于沙,“黑风海底阿尼德罗追忆馆”获得,10,4,1937718117,2
ホパル古盤,霍啪栌古盘,霍啪栌古盘交换,20,2,1937715508,2
崩壊ノ虚妄,崩坏的虚妄,任务报酬,8,7,468490595,2
Vamo' alla Flamenco ～漆黒～,一起来跳弗拉门戈　～暗影～,金碟游乐场交换,45,9,109238930,2
約束の地,应许之地,天穹街交换,72,1,41672525,2
忠義,忠义,天穹街交换,71,1,28409363,2
石と鋼,石与钢,天穹街交换,26,9,41672535,2
名も無き者たちの情熱,无名众人的激情,天穹街交换,32,10,1937715486,2
不穏の淵,不稳深渊,黑风海交换,35,9,1391211226,2
生きる理由,活着的理由,伊尔美格交换,21,2,1391209541,2
言い尽くせぬ悲哀,一言难尽的悲哀,游末邦交换,22,2,1391209581,2
運命の旅,命运之旅,“梦羽宝境”获得,31,10,1391209570,2
未解読法則 ～魔大陸アジス?ラー～,未解读法则,天穹街交换,70,1,41672536,2
ワッツハンマー?ガレージ,沃茨之锤,沃茨之锤交换,23,2,1937718133,2
悠久の風 ～漆黒～,悠久之风　～暗影～,道具制作<br />主要素材：暗影篇主线剧情相关的高难度讨伐战“？？？？幻耀歼灭战”获得 <br />（以最低品级参加时获得概率上升）,46,9,1937718137,2
To the Edge,末路尽头,道具制作<br />主要素材：暗影篇主线剧情相关的高难度讨伐战“？？？？幻耀歼灭战”获得 <br />（以最低品级参加时获得概率上升）,41,5,1840917548,2
ボズヤの微風,博兹雅的微风,“南方博兹雅战线”的上锁的宝箱中获得,36,10,1937718129,2
ボズヤの血風,博兹雅的血风,用博兹雅晶簇交换,37,10,1937718130,2
動乱 帝国バージョン（Zodiac Age Version）,动乱 帝国版（黄道年代）,用博兹雅晶簇交换,38,10,1937715522,2
潜入（Zodiac Age Version）,潜入（黄道年代）,“南方博兹雅战线”的“帝国湖岸堡攻城战”获得,39,10,1937715523,2
召喚獣戦（Zodiac Age Version）,召唤兽战（黄道年代）,“南方博兹雅战线”的“帝国湖岸堡攻城战”获得,40,10,1937718131,2
死闘（Zodiac Age Version）,死斗（黄道年代）,“南方博兹雅战线”的“帝国湖岸堡攻城战”获得,41,10,1937718132,2
すべての道が至る場所 ～漆黒決戦 ノルヴラント～,异路同归,“暗影决战诺弗兰特”获得,11,4,1937715525,2
宿命,宿命,潜水艇探索获得,4,10,28409290,2
トンベリの涙 ～旅神聖域 ワンダラーパレス～,冬贝利之泪,“神灵圣域放浪神古神殿”获得,9,3,2070897605,3
憎悪 ～流砂迷宮 カッターズクライ～,憎恶,“流沙迷宫樵鸣洞”获得,7,3,2070897606,3
邪竜の急襲,邪龙急袭,天穹街交换,42,5,482636421,2
蒼天騎士団,苍穹骑士团,天穹街交换,27,9,41672518,2
割レタ心,破碎的心,任务报酬,16,7,468490588,2
遊園施設,游乐园,任务报酬,17,7,468490569,2
偽リノ城塞,谎言之城,“人偶军事基地”获得,18,7,468490597,2
オバアチャン／破壊,祖母／破坏,“人偶军事基地”获得,19,7,468490572,2
異形ノ末路,异形的末路,“人偶军事基地”获得,20,7,468490580,2
天より降りし力～全テヲ破壊スル黒キ巨人／Medley Version,天降之力～破坏一切的黑色巨人／混合版,“人偶军事基地”获得,21,7,1937718142,2
冥き水底 ～テンペスト：深部～（Scions & Sinners）,幽冥水底（古裔今罪）,通过道具码获得,21,12,1923188975,2
ロングフォール ～異界遺構 シルクス?ツイニング～（Scions & Sinners: Band）,一瞬千里（古裔今罪：乐团版）,通过道具码获得,22,12,1832418227,2
希望の都（Piano Collections）,希望之都（钢琴集）,道具商城购买或者作为商品附加特典道具获得,23,12,1350491979,2
水車の調べ（Piano Collections）,水车低鸣（钢琴集）,道具商城购买或者作为商品附加特典道具获得,24,12,1350491980,2
偉大なる母港（Piano Collections）,伟大的母港（钢琴集）,道具商城购买或者作为商品附加特典道具获得,25,12,1350491981,2
祝いの調べ ～蒼天街復興～,重建竣工小调,任务报酬,33,10,1937715533,2
漆黒の王狼、再び,漆黑王狼重现世间,道具制作<br />主要素材：“绿宝石神兵狂想作战”获得 <br />（以最低品级参加时获得概率上升）,43,5,1968753130,2
ゴゴのテーマ,格格主题曲,乌尔达哈交换,30,10,1937715535,2
ソーヘン地下宮殿（Zodiac Age Version）,索亨地下宫殿（黄道年代）,“天佑女王”的“女王古殿”获得,42,10,1937715561,2
言葉無き戦い（Zodiac Age Version）,无言之战（黄道年代）,“天佑女王”的“女王古殿”获得,43,10,1937715562,2
復活の女王 ～グンヒルド?ディルーブラム～,女王复活,“天佑女王”的“女王古殿”获得,44,10,1937718166,2
焼き立てポークシー ～魔術工房 マトーヤのアトリエ～,刚出炉的仙子猪,“魔术工房玛托雅工作室”获得,12,4,1937715536,2
Don't be Afraid ～漆黒～,不要畏惧　～暗影～,“伊甸希望乐园 再生之章2”获得,22,7,1937718146,2
The Legendary Beast ～漆黒～,传说之兽　～暗影～,“伊甸希望乐园 再生之章3”获得,23,7,1937718147,2
消せない約束 ～希望の園エデン：再生編～,不会失效的约定,“伊甸希望乐园 再生之章4”获得,24,7,1937715542,2
The Extreme ～漆黒～,极尽　～暗影～,“伊甸零式希望乐园 再生之章4”获得,25,7,1937715558,2
ネメシス,复仇,潜水艇探索获得,25,3,28409332,2
何処でもない何処か,无处之处,“梦羽宝殿”获得,36,9,1391209544,2
反復する明日,明日复明日,“梦羽宝境”获得,41,9,1391209564,2
危険な言葉,危言,“梦羽宝境”获得,42,9,1391209563,2
合わないピース,无法拼合的碎片,“梦羽宝殿”获得,24,2,1391211277,2
闘士の修練所 ～魔獣領域 ハラタリ修練所～,修行,“魔兽领域日影地修炼所”获得,3,3,28409345,2
戦神の教義,战神的教义,天穹街的“库啵好运道”获得,44,5,482636415,2
蒼き日常 ～蒼天街復興～,苍色的日常,天穹街交换,34,10,1937715510,2
彩られし夜空 ～高地ドラヴァニア：夜～,华彩的夜空,天穹街的“库啵好运道”获得,73,1,41672509,2
名誉に賭けて,名誉之战,金碟游乐场交换,24,3,28409330,2
地下坑道 ～封鎖坑道 カッパーベル銅山～,地下坑道,“封锁坑道铜铃铜山”获得,2,3,28409331,2
踊る人形カルコブリーナ ～蒼天～,跳舞娃娃卡尔克布莉娜　～苍穹～,“星海空间颠倒塔”获得,43,3,482633466,2
不吉なる前兆（Piano Collections）,凶兆（钢琴集）,道具商城购买或者作为商品附加特典道具获得,26,12,1350491975,2
雲霧街の夜霧 ～イシュガルド下層：夜～（Piano Collections）,夜雾缭绕（钢琴集）,道具商城购买或者作为商品附加特典道具获得,27,12,1350493770,2
彩られし山麓 ～高地ドラヴァニア：昼～（Piano Collections）,华彩的山麓（钢琴集）,道具商城购买或者作为商品附加特典道具获得,28,12,1350491978,2
Shuffle or Boogie ～漆黒～,夏弗还是布吉　～暗影～,成就“官方记录1”报酬,17,10,1937718164,2
孤児たちの戦い,孤儿们的战斗,道具制作<br />主要素材：“钻石神兵狂想作战”获得 <br />（以最低品级参加时获得概率上升）,45,5,1937718201,2
怒れる悪魔 ～旗艦ダル?リアータ攻略戦～,愤怒的恶魔,“扎杜诺尔高原”的“旗舰达尔里阿达号攻略战”获得,45,10,1937715563,2
炎の七部族 ～黄金平原 パガルザン～,烈火七部族,“黄金平原帕戈尔赞草原”获得,13,4,1937718197,2
愛を求める者たち,寻爱之人,任务报酬,43,9,1840916426,2
それは愛くぽ？,爱是库啵？,天穹街交换,74,1,41672512,2
バイデザイン,蓄意,潜水艇探索获得,4,9,27586648,2
自由なる風に吹かれて,清风拂面,利姆萨·罗敏萨等地交换,24,9,482633495,2
より良き明日,更好的明天,“梦羽宝境”获得,44,9,1391211252,2
西風に乗せて（Piano Collections）,乘上西风（钢琴集）,道具商城购买或者作为商品附加特典道具获得,29,12,1350493768,2
静穏の森（Piano Collections）,沉静（钢琴集）,道具商城购买或者作为商品附加特典道具获得,30,12,1350493766,2
灼熱の地へ（Piano Collections）,灼热之地（钢琴集）,道具商城购买或者作为商品附加特典道具获得,31,12,1350493769,2
砕けぬ思い ～ハーデス討滅戦～（Scions & Sinners: Piano）,不灭孤念（古裔今罪：钢琴版）,道具商城购买或者作为商品附加特典道具获得,32,12,1832418804,2
Tomorrow and Tomorrow（Scions & Sinners: Amanda Achen Vocals）,明日与未来（古裔今罪：Amanda Achen演唱版）,道具商城购买或者作为商品附加特典道具获得,33,12,1832418222,2
忘却の此方 ～希望の園エデン：共鳴編～（Scions & Sinners: Amanda Achen Vocals）,忘却的此岸（古裔今罪：Amanda Achen演唱版）,道具商城购买或者作为商品附加特典道具获得,34,12,1832418800,2
目覚めの御使い ～ティターニア討滅戦～（Scions & Sinners: Amanda Achen Vocals）,天使醒来（古裔今罪：Amanda Achen演唱版）,道具商城购买或者作为商品附加特典道具获得,35,12,1832418224,2
ロングフォール ～異界遺構 シルクス?ツイニング～（Scions & Sinners: Piano）,一瞬千里（古裔今罪：钢琴版）,道具商城购买或者作为商品附加特典道具获得,36,12,1832418797,2
女神 ～女神ソフィア討滅戦～（Scions & Sinners: Band）,平衡（古裔今罪：乐团版）,道具商城购买或者作为商品附加特典道具获得,37,12,1832418795,2
目覚めの御使い ～ティターニア討滅戦～（Scions & Sinners: Band）,天使醒来（古裔今罪：乐团版）,道具商城购买或者作为商品附加特典道具获得,38,12,1832418801,2
Shadowbringers（Scions & Sinners: Band）,暗影使者（古裔今罪：乐团版）,道具商城购买或者作为商品附加特典道具获得,39,12,1832418802,2
輝ける蒼 ～希望の園エデン：覚醒編～（Scions & Sinners: Band）,耀眼浪苍（古裔今罪：乐团版）,道具商城购买或者作为商品附加特典道具获得,40,12,1832418798,2
貪欲（Scions & Sinners: Band）,贪欲（古裔今罪：乐团版）,道具商城购买或者作为商品附加特典道具获得,41,12,1832418226,2
ライズ ～機工城アレキサンダー：天動編～（Pulse）,起义（脉动电音）,道具商城购买或者作为商品附加特典道具获得,42,12,1486757119,2
混沌の渦動 ～蛮神リヴァイアサン討滅戦～（Pulse）,混沌的漩涡（脉动电音）,道具商城购买或者作为商品附加特典道具获得,43,12,1486755316,2
冥き水底 ～テンペスト：深部～（Pulse）,幽冥水底（脉动电音）,道具商城购买或者作为商品附加特典道具获得,44,12,1486751992,2
目覚めの御使い ～ティターニア討滅戦～（Pulse）,天使醒来（脉动电音）,道具商城购买或者作为商品附加特典道具获得,45,12,1486755317,2
千年の暁 ～朱雀征魂戦～（Pulse）,千年旭光（脉动电音）,道具商城购买或者作为商品附加特典道具获得,46,12,1486751994,2
蒼天街復興祝祭,天穹同庆,天穹街交换,35,10,1937718168,2
追悼,追悼,“希望之炮台：‘塔’”获得,26,7,468490590,2
エミール／絶望,艾米尔／绝望,“希望之炮台：‘塔’”获得,27,7,468490601,2
終ワリノ音：丁,终结之音：丁,“希望之炮台：‘塔’”获得,29,7,468517459,2
カイネ／Final Fantasy Main Theme Version,凯宁／最终幻想主题曲版,“希望之炮台：‘塔’”获得,30,7,1937718195,2
Weight of the World／Instrumental,世界的重量／伴奏曲,任务报酬,36,7,1937715580,2
還ラナイ声／通常,不归之声／通常,任务报酬,31,7,468490581,2
沈痛ノ色,沉痛之色,任务报酬,32,7,468490568,2
茫洋タル病,疫病蔓延,任务报酬,33,7,468490596,2
取リ憑イタ業病,恶疾缠身,任务报酬,34,7,468490587,2
澱ンダ祈リ／暁風,停滞的祈祷／晓风,任务报酬,35,7,468490573,2
ゾットの塔 ～暁月～,佐特塔　～晓月～,“异形楼阁佐特塔”获得,15,4,1923179464,2
ガレマルド急行,加雷马快列,“魔导神门巴别塔”获得,16,4,1923178592,2
空が燃える日,天空燃烧之日,“末日树海万相森国”获得,17,4,1923179529,2
創造の奇跡,创造之奇迹,“创造环境极北造物院”获得,18,4,1923183629,2
星の海,星海,“星海深幽寻因星晶镜”获得,19,4,1923179537,2
先ゆく星々,先逝的群星,“最终幻想末世终迹”获得,20,4,1923196160,2
ハピネスキャロット,开开心心胡萝卜,“乐园都市笑笑镇”获得,21,4,1923189508,2
ENDCALLER,呼唤终结之神,道具制作<br />主要素材：晓月篇主线剧情相关的高难度讨伐战“？？？？暝暗歼灭战”获得 <br />（以最低品级参加时获得概率上升）,46,5,1923187954,2
Your Answer,你的答案,道具制作<br />主要素材：晓月篇主线剧情相关的高难度讨伐战“？？？？晖光歼灭战”获得 <br />（以最低品级参加时获得概率上升）,47,5,1923196164,2
縛めの鎖 ～万魔殿パンデモニウム：辺獄編～,惩戒的镣铐,“万魔殿 边境之狱3”获得,37,7,1923188456,2
此処に獅子あり ～万魔殿パンデモニウム：辺獄編～,此处有狮,“万魔殿 边境之狱4”获得,38,7,1923189507,2
知恵の水瓶 ～オールド?シャーレアン：昼～,知识的水瓶,旧萨雷安交换,25,2,1923184169,2
落日の都 ～ラザハン～,落日之都,拉札罕交换,26,2,1923179539,2
迷宮 ～ラヴィリンソス：昼～,迷津,迷津交换,27,2,1923178494,2
神々の訓え ～サベネア島：昼～,众神的教诲,萨维奈岛交换,28,2,1923179414,2
白雪と黒鉄 ～ガレマルド：昼～,白雪与黑铁,加雷马交换,29,2,1923179445,2
小さな一歩 ～嘆きの海～,一小步,叹息海交换,30,2,1923187959,2
古の空,远古的天空,厄尔庇斯交换,31,2,1923179436,2
Close in the Distance,近在天边,天外天垓交换,32,2,1923195180,2
抗戦,搏战,旧萨雷安及拉札罕交换,33,2,1923179568,2
震える刃,锋芒,寻宝获得,25,4,1923178599,2
終の戦,终局,寻宝获得,26,4,1923178575,2
Endwalker – Footfalls,终途旅人 - 足迹,任务报酬,48,9,1923184634,2
Flow,Flow -生如归流-,任务报酬,50,9,1923201928,2
夜明けに向かって ～漂流海域 セイレーン海～,通向黎明,“漂流海域妖歌海”获得,52,3,864433984,2
邪竜の咆吼 ～邪竜血戦 ドラゴンズエアリー～,邪龙咆哮,“邪龙王座龙巢神殿”获得,32,3,41672513,2
仄暗い底から ～天然要害 サスタシャ浸食洞～,昏暗的深处,“天然要害沙斯塔夏溶洞”获得,1,3,2498502336,3
万世の言葉 ～禁書回収 グブラ幻想図書館～（Piano Collections）,万世箴言（钢琴集）,道具商城购买或者作为商品附加特典道具获得,47,12,1350493762,2
英傑 ～ナイツ?オブ?ラウンド討滅戦～（Piano Collections）,英杰（钢琴集）,道具商城购买或者作为商品附加特典道具获得,48,12,1350493771,2
古傷 ～ギラバニア湖畔地帯：夜～（Piano Collections）,古伤（钢琴集）,道具商城购买或者作为商品附加特典道具获得,49,12,1350491977,2
地図を広げて ～近東秘宝 アルザダール海底遺跡群～,打开的地图,“近东秘宝阿尔扎达尔海底遗迹群”获得,22,4,2013951975,2
終焉の戦い,终结之战,道具制作<br />主要素材：晓月篇主线剧情相关的高难度讨伐战“？？之战”获得 <br />（以最低品级参加时获得概率上升）,48,5,1923201951,2
想いが動かす力,情感所影响的力量,道具制作<br />主要素材：晓月篇主线剧情相关的高难度讨伐战“？？之战”获得 <br />（以最低品级参加时获得概率上升）,49,5,1923201929,2
Flow Together,众生如归流,任务报酬,51,9,1923178595,2
始まりの幻域,起始的幻域,任务报酬,53,7,2145042988,2
巡礼者の道 ～輝ける神域 アグライア～,巡礼者之路,“灿烂神域阿格莱亚”获得,39,7,2013951227,2
威光 ～輝ける神域 アグライア～,威光,“灿烂神域阿格莱亚”获得,40,7,2013951228,2
命の天秤 ～輝ける神域 アグライア～,生命的天平,“灿烂神域阿格莱亚”获得,41,7,2013951229,2
ヒッポライダーズ,河马骑手团,大金库交换,34,2,2013951230,2
知恵の巻貝 ～オールド?シャーレアン：夜～,智慧的海螺,旧萨雷安交换,35,2,1923184631,2
いつの日かきっと ～暁月～,终有一日　～晓月～,旧萨雷安交换,36,2,1923179488,2
多彩なる都 ～ラザハン：昼～,多彩之都,拉札罕交换,37,2,1923201926,2
薫香の都 ～ラザハン：夜～,熏香之都,拉札罕交换,38,2,1923189505,2
迷夢 ～ラヴィリンソス：夜～,迷梦,迷津交换,39,2,1923178550,2
人々の祈り ～サベネア島：夜～,众人的祈祷,萨维奈岛交换,40,2,1923184244,2
黒闇と黒鉄 ～ガレマルド：夜～,黑暗与黑铁,加雷马交换,41,2,1923178561,2
帰らん、地平の彼方へ,回去吧，回到遥远的故乡,加雷马交换,49,9,1923178573,2
古の星空,远古的星空,厄尔庇斯交换,42,2,1923179501,2
街のテーマ ～暁月～,城镇主题曲　～晓月～,叹息海交换,43,2,1923179507,2
ウォーミングアップ ～クリスタルコンフリクト～,热身,狼狱水上竞技场交换,11,10,2145043010,2
ハンターチャンス ～暁月～,狩猎时机　～晓月～,狼狱水上竞技场交换,12,10,2145043011,2
走れ！ ～暁月～,快跑！　～晓月～,狼狱水上竞技场交换,13,10,2145041501,2
夏の雨の如く ～神域浮島 ネバーリープ～,犹如夏雨,“空中神域不获岛”获得,38,3,41672501,2
堕落 ～廃砦捜索 ダスクヴィジル～,堕落,“冰雪废堡暮卫塔”获得,30,3,41672493,2
戦禍 ～邪念排撃 古城アムダプール～,战祸,“邪念妖地无限城古堡”获得,23,3,34274411,2
天国の扉,天赐良机,金碟游乐场交换,14,10,34274409,2
桟道を上りて,崇山峻岭,住宅区出售,9,9,27586639,2
宵の海 ～紅玉海：夜～（Piano Collections）,深宵之海（钢琴集）,道具商城购买或者作为商品附加特典道具获得,50,12,1350491976,2
