编码,顺序,副本名称,任务,位置,NPC,地图map,装等限制,等级,所属,类型
112430.tex,18,钻石神兵狂想作战,成功攻略「钻石神兵捕获作战」后,基拉巴尼亚湖区(X:11.3 Y:22.5),加隆德炼铁厂模型师,id=369&x=11.3&y=22.5,510,80,5,2
112435.tex,1,异形楼阁 佐特塔,主线,,,,500,81,6,1
112436.tex,2,魔导神门 巴别塔,主线,,,,505,83,6,1
112437.tex,3,末日树海 万相森国,主线,,,,510,85,6,1
112438.tex,4,创造环境 极北造物院,主线,,,,515,87,6,1
112439.tex,5,星海深幽 寻因星晶镜,主线,,,,520,89,6,1
112440.tex,6,最终幻想 末世终迹,主线,,,,540,90,6,1
112441.tex,7,乐园都市 笑笑镇,完成主线「晓月之终途」,旧萨雷安（X:11.0 Y:13.7）,聆听威,id=693&x=11.0&y=13.7,540,90,6,1
112442.tex,8,电脑梦境 斯提格玛四,完成主线「晓月之终途」,旧萨雷安（X:11.7 Y:11.4）,惴惴不安的兔兔族,id=693&x=11.7&y=11.4,540,90,6,1
112443.tex,1,佐迪亚克歼灭战,主线,,,,无,83,6,2
112445.tex,2,海德林歼灭战,主线,,,,550,89,6,2
112447.tex,3,终结之战,主线,,,,540,90,6,2
112444.tex,5,佐迪亚克暝暗歼灭战,完成主线「晓月之终途」,旧萨雷安（X:12.7 Y:14.2）,异国的诗人,id=693&x=12.7&y=14.2,560,90,6,2
112446.tex,4,海德林晖光歼灭战,完成主线「晓月之终途」,旧萨雷安（X:12.7 Y:14.2）,异国的诗人,id=693&x=12.7&y=14.2,560,90,6,2
112448.tex,1,万魔殿 边境之狱1,完成主线「晓月之终途」,旧萨雷安（X:9.6 Y:11.9）,尼姆吉吉,id=693&x=9.6&y=11.9,565,90,6,3
112450.tex,2,万魔殿 边境之狱2,,,,,565,90,6,3
112452.tex,3,万魔殿 边境之狱3,,,,,570,90,6,3
112454.tex,4,万魔殿 边境之狱4,,,,,580,90,6,3
112449.tex,5,零式万魔殿 边境之狱1,完成支线「獄卒長は終の広間にて待つ」,迷津（X:8.4 Y:27.4）,尼姆吉吉,id=695&x=8.4&y=27.4,565,90,6,3
112451.tex,6,零式万魔殿 边境之狱2,,,,,565,90,6,3
112453.tex,7,零式万魔殿 边境之狱3,,,,,575,90,6,3
112455.tex,8,零式万魔殿 边境之狱4,,,,,580,90,6,3
112465.tex,9,近东秘宝 阿尔扎达尔海底遗迹群,主线,,,,560,90,6,1
112466.tex,9,灿烂神域 阿格莱亚,完成主线「姐与弟」后可接取,旧萨雷安（X:9.1 Y:11.5）,新面孔的巴尔德西昂委员,id=693&x=9.1&y=11.5,565,90,6,3
112469.tex,10,【绝】幻想龙诗绝境战,完成主线「晓月之终途」,旧萨雷安（X:12.7 Y:14.2）,异国的诗人,id=693&x=12.7&y=14.2,605,90,6,3
112470.tex,7,究极神兵幻巧战,完成支线「某妖狐的幻巧拼图」后，对话开放<br/>(已参与过上轮幻巧战的话，为自动替换成新的幻蛮神）,,,,560,90,6,2
112467.tex,6,终极之战,完成主线「晓月之终途」,旧萨雷安（X:12.7 Y:14.2）,异国的诗人,id=693&x=12.7&y=14.2,580,90,6,2
112481.tex,10,异界孤城特罗亚宫廷,主线,,,,575,90,6,1
112492.tex,8,萨菲洛特幻巧战,完成支线「某妖狐的幻巧拼图」后，对话开放<br/>(已参与过上轮幻巧战的话，为自动替换成新的幻蛮神）,,,,560,90,6,2
112482.tex,9,巴尔巴莉希娅歼灭战,主线,,,,585,90,6,2
112483.tex,10,巴尔巴莉希娅歼殛战,完成主线,旧萨雷安（X:12.7 Y:14.2）,异国的诗人,id=693&x=12.7&y=14.2,600,90,6,2
112484.tex,11,万魔殿 炼净之狱1,完成支线「在最深处等待的狱卒长」,迷津（X:8.6 Y:27.5）,克劳狄恩,id=695&x=8.6&y=27.5,585,90,6,3
112486.tex,12,万魔殿 炼净之狱2,,,,,585,90,6,3
112488.tex,13,万魔殿 炼净之狱3,,,,,585,90,6,3
112490.tex,14,万魔殿 炼净之狱4,,,,,585,90,6,3
112485.tex,15,零式万魔殿 炼净之狱1,完成支线「万魔殿的真相」,迷津（X:8.4 Y:27.4）,尼姆吉吉,id=695&x=8.4&y=27.4,600,90,6,3
112487.tex,16,零式万魔殿 炼净之狱2,,,,,605,90,6,3
112489.tex,17,零式万魔殿 炼净之狱3,,,,,610,90,6,3
112491.tex,18,零式万魔殿 炼净之狱4,,,,,610,90,6,3
112493.tex,1,希拉狄哈水道,完成支线「女王陛下と約束の鍵」,旧萨雷安（X:12.0 Y:13.3）,莎萝·摩尔,id=693&x=12.0&y=13.3,575,90,6,4
112494.tex,2,异闻希拉狄哈水道,通关「希拉狄哈水道」后，和旧萨雷安的奥斯蒙对话开放,,,,610,90,6,4
112495.tex,3,零式异闻希拉狄哈水道,通关「异闻希拉狄哈水道」后，和旧萨雷安的奥斯蒙对话开放,,,,无,90,6,4
112502.tex,11,雪山奥窟 冥魂石洞,主线,,,,590,90,6,1
112503.tex,11,卢比坎特歼灭战,主线,,,,595,90,6,2
112504.tex,12,卢比坎特歼殛战,完成主线,旧萨雷安（X:12.7 Y:14.2）,异国的诗人,id=693&x=12.7&y=14.2,610,90,6,2
112505.tex,19,喜悦神域 欧芙洛绪涅,完成支线「探险家真实的一面」,摩杜纳（X:23.9 Y:9.1）,迪里克,id=25&x=23.9&y=9.1,595,90,6,3
112506.tex,13,索菲娅幻巧战,完成支线「某妖狐的幻巧拼图」后，对话开放<br/>(已参与过上轮幻巧战的话，为自动替换成新的幻蛮神）,,,,560,90,6,2
112518.tex,20,【绝】绝欧米茄检测战,通关「零式万魔殿 炼净之狱4」,旧萨雷安（X:12.7 Y:14.2）,异国的诗人,id=693&x=12.7&y=14.2,635,90,6,3
112508.tex,4,正统优雷卡,通关「死者宫殿」50层,摩杜纳（X:21.8 Y:8.1）,珂尔·拉布恩塔,id=25&x=21.8&y=8.1,无,80,6,4
112521.tex,12,间歇灵泉 哈姆岛,主线,,,,605,90,6,1
112524.tex,19,万魔殿 荒天之狱1,完成6.2支线「万魔殿的真相」后接取「收集灵魂之人」开放,迷津（X:8.6 Y:27.5）,吕斯诺,id=695&x=8.6&y=27.5,615,90,6,3
112525.tex,20,零式万魔殿 荒天之狱1,完成支线「收集灵魂之人」,迷津（X:8.4 Y:27.4）,尼姆吉吉,id=695&x=8.4&y=27.4,630,90,6,3
112526.tex,21,万魔殿 荒天之狱2,,,,,615,90,6,3
112527.tex,22,零式万魔殿 荒天之狱2,,,,,635,90,6,3
112528.tex,23,万魔殿 荒天之狱3,,,,,615,90,6,3
112529.tex,24,零式万魔殿 荒天之狱3,,,,,640,90,6,3
112530.tex,25,万魔殿 荒天之狱4,,,,,615,90,6,3
112531.tex,26,零式万魔殿 荒天之狱4,,,,,640,90,6,3
112522.tex,14,高贝扎歼灭战,主线,,,,915,90,6,2
112523.tex,15,高贝扎歼殛战,完成主线「晓月之终途」,旧萨雷安（X:12.7 Y:14.2）,异国的诗人,id=693&x=12.7&y=14.2,630,90,6,2
112532.tex,16,祖尔宛幻巧战,完成支线「某妖狐的幻巧拼图」后，对话开放<br/>(已参与过上轮幻巧战的话，为自动替换成新的幻蛮神）,,,,560,90,6,2
112533.tex,5,六根山,完成主线「晓月之终途」,旧萨雷安（X:12.0 Y:13.3）,莎萝·摩尔,id=693&x=12.0&y=13.3,605,60,6,4
112534.tex,6,异闻六根山,通关「六根山」后，和旧萨雷安的奥斯蒙对话开放,,,,640,60,6,4
112535.tex,7,六根山零式异闻,通关「异闻六根山」后，和旧萨雷安的奥斯蒙对话开放,,,,640,60,6,4
112536.tex,20,阿修罗歼灭战,6.55事件屋支线一定进度后开放,,,,625,90,6,2
112543.tex,13,异界深渊 月面地下溪谷,主线,,,,620,90,6,1
112544.tex,17,泽罗姆斯歼灭战,主线,,,,625,90,6,2
112545.tex,18,泽罗姆斯歼殛战,完成主线「晓月之终途」,旧萨雷安（X:12.7 Y:14.2）,异国的诗人,id=693&x=12.7&y=14.2,640,90,6,2
112546.tex,27,荣华神域 塔利亚,完成支线「探险家真实的一面」,摩杜纳（X:23.9 Y:9.1）,迪里克,id=25&x=23.9&y=9.1,625,90,6,3
112547.tex,19,圆桌骑士幻巧战,完成支线「某妖狐的幻巧拼图」后，对话开放<br/>(已参与过上轮幻巧战的话，为自动替换成新的幻蛮神）,,,,560,90,6,2
112549.tex,5,阿罗阿罗岛,完成主线「弗栗多的决断」,旧萨雷安（X:12.0 Y:13.3）,莎萝·摩尔,id=693&x=12.0&y=13.3,605,90,6,4
112550.tex,6,异闻阿罗阿罗岛,通关「阿罗阿罗岛」后，和旧萨雷安的奥斯蒙对话开放,,,,640,90,6,4
112551.tex,7,零式异闻阿罗阿罗岛,通关「异闻阿罗阿罗岛」后，和旧萨雷安的奥斯蒙对话开放,,,,665,90,6,4
