版本,名称,日文,属性,获得方法,使用代码,图片,对目标,无目标,最新绿点
*,托眼镜,眼鏡を正す,通常,"匿名信疑云<br/>支线任务Lv60<br/>特奥莫桑（伊修加德砥柱层 X:10.5 , Y:9.8）",/spectacles,246310,<me>在<t>面前调整了一下眼镜的位置。,<me>调整了一下眼镜的位置。,0
*,表达爱意,愛を表現する,通常,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/dote,246309,<me>对<t>表达了爱意。,<me>表达了爱意。,0
*,日月之舞,太陽と月の舞,特别,"伊修加德的盟友们<br/>好身手（阿巴拉提亚云海 X:6.7 , Y:14.3）<br/>需要推进其蛮族声望任务，才能解放其任务",/moonlift,246308,<me>在<t>面前跳起了日月之舞。,<me>跳起了日月之舞。,0,UPDATED
*,寒冰的幻想,氷結の幻想,特别,实体特典,/iceheart,246307,<me>在<t>面前与冰共舞。,<me>与冰共舞。,0,UPDATED
*,装死,死んだふり,特别,官网道具商城购买,/playdead,246306,<me>开始在<t>面前装死。,<me>开始装死。,0,UPDATED
*,撒娇,おねだり,通常,官网道具商城购买,/prettyplease,246305,<me>向<t>撒起了娇。,<me>撒起了娇。,0
7.4,默哀,,通常,,/respect,246304,<me>为<t>默哀。,<me>献上了默哀。,1,NEW
7.4,肉体之美,,通常,,/flex,246303,<me>对<t>炫耀自己肉体的美感。,<me>炫耀自己肉体的美感。,1,NEW
*,斩铁剑,斬鉄剣,特别,实体特典,/zantetsuken,246302,<me>在<t>面前斩裂了空间。,<me>斩裂了空间。,0,UPDATED
7.4,捂脸,,通常,,/facepalm,246301,<me>在<t>面前捂住了脸。,<me>捂住了脸。,1,NEW
*,战队演武逆黄三式,戦士の演武：参ノ裏,特别,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose3l,246299,<me>对<t>摆出了战队演武逆黄三式的造型。,<me>摆出了战队演武逆黄三式的造型。,0,UPDATED
*,战队演武逆黑二式,戦士の演武：弐ノ裏,特别,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose2l,246298,<me>对<t>摆出了战队演武逆黑二式的造型。,<me>摆出了战队演武逆黑二式的造型。,0,UPDATED
*,战队演武逆红一式,戦士の演武：壱ノ裏,特别,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose1l,246297,<me>对<t>摆出了战队演武逆红一式的造型。,<me>摆出了战队演武逆红一式的造型。,0,UPDATED
*,战队演武正黄三式,戦士の演武：参,特别,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose3r,246296,<me>对<t>摆出了战队演武正黄三式的造型。,<me>摆出了战队演武正黄三式的造型。,0,UPDATED
*,战队演武正黑二式,戦士の演武：弐,特别,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose2r,246295,<me>对<t>摆出了战队演武正黑二式的造型。,<me>摆出了战队演武正黑二式的造型。,0,UPDATED
*,战队演武正红一式,戦士の演武：壱,特别,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose1r,246294,<me>对<t>摆出了战队演武正红一式的造型。,<me>摆出了战队演武正红一式的造型。,0,UPDATED
*,东方传统舞蹈,東方の伝統舞踊,特别,官网道具商城购买,/easterndance,246293,<me>在<t>面前跳起了东方传统舞蹈。,<me>跳起了东方传统舞蹈。,0,UPDATED
*,热身,ウォームアップ,通常,官网道具商城购买,/easternstretch,246292,<me>在<t>面前做起了热身动作。,<me>做起了热身动作。,0
*,太棒了！,イイ！,通常,"友人的微笑<br/>斯洛菲克斯（田园郡 X:7.6 , Y:6.6）",/haurchefant,246291,<me>觉得<t>太棒了。,<me>表示太棒了。,0
*,莫古莫古舞,モグモグダンス,特别,"击碎岩石的修复团！<br/>团长莫古京（翻云雾海 X:15.7 , Y:28.9 ）<br/>需要推进其蛮族声望任务，才能解放其任务",/mogdance,246290,<me>在<t>面前跳起了莫古莫古舞。,<me>跳起了莫古莫古舞。,0,UPDATED
*,灵光一现,閃く,通常,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/eureka,246289,<me>看着<t>脑海里突然灵光一现。,<me>脑海里突然灵光一现。,0
*,抱拳礼,抱拳礼,通常,官网道具商城购买,/easterngreeting,246288,<me>对<t>行了一个抱拳礼。,<me>行了一个抱拳礼。,0
*,后空翻,宙返り,通常,官网道具商城购买,/backflip,246287,<me>给<t>做了一个后空翻。,<me>做了一个后空翻。,0
*,欢呼胜利,勝利を喜ぶ,通常,四国联合军演<br/>主线任务Lv60<br/>每个职业的动作皆有不同,/victorypose,246286,<me>对<t>传达着胜利的喜悦。,<me>传达着胜利的喜悦。,0
*,准备战斗,戦いに備える,通常,命运的齿轮<br/>主线任务Lv60<br/>每个职业的动作皆有不同,/battlestance,246285,<me>对<t>做出了战斗的准备动作。,<me>做出了战斗的准备动作。,0
*,太阳之舞,太陽の舞,特别,"敬畏之人<br/>利努瓦利（阿巴拉提亚云海 X:6.6 , Y:14.3）<br/>需要推进其蛮族声望任务，才能解放其任务",/sundance,246284,<me>在<t>面前跳起了太阳之舞。,<me>跳起了太阳之舞。,0,UPDATED
*,黄金之舞,ゴールデンダンス,特别,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>80,000金碟币",/golddance,246283,<me>在<t>面前跳起了黄金之舞。,<me>跳起了黄金之舞。,0,UPDATED
*,萨维奈舞,サベネアンダンス,特别,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>80,000金碟币",/thavdance,246282,<me>在<t>面前跳起了萨维奈舞。,<me>跳起了萨维奈舞。,0,UPDATED
*,对拳,拳を突き出す,通常,水晶传承站<br/>邀请新人专属奖励,/fistbump,246280,<me>向<t>伸出了拳头想要对碰一下。,<me>出了一拳。,0
*,绅士风度,事件屋の決めポーズ,特别,"随风而逝的结局<br/>茱莉安（乌尔达哈来生回廊 X:12.1 , Y:11.8）",/hildibrand,246279,<me>向<t>做出了最具有绅士风度的动作。,<me>做出了最具有绅士风度的动作。,0,UPDATED
*,深情拥抱,抱き合う,通常,双方结下永结同心誓约<br/>纯情之誓/激情之誓/钟情之誓皆可获得,/embrace,246278,<me>深情拥抱了<t>。,<me>做出了深情拥抱的动作。,0
7.4,拥抱,,通常,,/hug,246277,<me>拥抱了<t>一下。,<me>做出了拥抱的动作。,1,NEW
7.4,甩巴掌,,通常,,/slap,246276,<me>甩了<t>一巴掌。,<me>甩了一巴掌。,1,NEW
*,胜利欢呼,勝ちどき,通常,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/hurray,246275,<me>在<t>面前做出了胜利的欢呼！,<me>做出了胜利的欢呼！,0
*,火盆舞,ボム踊り,特别,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/bombdance,246274,<me>在<t>面前跳起了火盆舞。,<me>跳起了火盆舞。,0,UPDATED
7.4,递交,,通常,,/handover,246273,<me>交给了<t>什么东西。,<me>交出了什么东西。,1,NEW
*,绅士之舞,紳士の舞,特别,随风而逝的结局<br/>事件屋（希尔迪布兰德）,/mandervilledance,246272,<me>在<t>面前跳起了绅士之舞。,<me>跳起了绅士之舞。,0,UPDATED
*,宫廷之舞,宮廷の舞,特别,"舞女的梦想舞台<br/>支线任务Lv14<br/>佩·莫尔敏（乌尔达哈现世回廊 X:10.8 , Y:9.8）",/balldance,246271,<me>在<t>面前跳起了宫廷之舞。,<me>跳起了宫廷之舞。,0,UPDATED
*,丰饶之舞,豊穣の舞,特别,"为谁而舞<br/>支线任务Lv14<br/>艾拉尔（格里达尼亚新街 X:12.1 , Y:13.2）",/harvestdance,246270,<me>在<t>面前跳起了丰饶之舞。,<me>跳起了丰饶之舞。,0,UPDATED
*,踢踏舞,ステップダンス,特别,"快乐的律动之舞<br/>支线任务Lv14<br/>多多赞恩（利姆萨·罗敏萨下层甲板 X:7.5 , Y:12.4）",/stepdance,246269,<me>在<t>面前跳起了踢踏舞。,<me>跳起了踢踏舞。,0,UPDATED
7.4,改变姿势,,特别,,/changepose,246268,,,1,NEW
7.4,抚摸,,通常,,/stroke,246267,<me>轻轻地抚摸<t>。,<me>做出了抚摸的动作。,1,NEW
*,帝国式军礼,帝国式敬礼,通常,另一类军礼<br/>主线任务Lv46,/imperialsalute,246266,<me>对<t>行帝国式军礼。,<me>行帝国式军礼。,0
7.4,头部装备操作,,特别,,/visor,246265,,,1,NEW
7.4,祈祷,,通常,,/pray,246264,<me>向<t>祈祷。,<me>向众神祈祷。,1,NEW
7.4,引用,,通常,,/airquotes,246263,,,1,NEW
7.4,坐下,,特别,,/lounge,246256,,,1,NEW
7.4,坐下到地上,,特别,,/groundsit,246254,,,1,NEW
7.4,大失所望,,通常,,/disappointed,246253,<me>对<t>表示自己非常沮丧。,<me>表示自己非常沮丧。,1,NEW
7.4,欣喜若狂,,通常,,/happy,246252,<me>对<t>表示自己非常高兴。,<me>表示自己非常高兴。,1,NEW
7.4,下跪认错,,通常,,/grovel,246251,<me>对<t>下跪认错。,<me>下跪认错。,1,NEW
*,投掷,投げる,通常,"冬日的活动<br/>支线任务Lv36<br/>马考林（库尔札斯中央高地 X:24.9 , Y:27.8）<br/>※在雪地使用投掷，可丢出雪球",/throw,246250,<me>向<t>投出了什么东西。,<me>投出了什么东西。,0
7.4,飞吻,,通常,,/blowkiss,246249,<me>对<t>送出飞吻。,<me>送出了飞吻。,1,NEW
7.4,恒辉队军礼,,通常,,/gcsalute,246248,<me>对<t>行恒辉队军礼。,<me>行恒辉队军礼。,1,NEW
7.4,双蛇党军礼,,通常,,/gcsalute,246247,<me>对<t>行双蛇党军礼。,<me>行双蛇党军礼。,1,NEW
7.4,黑涡团军礼,,通常,,/gcsalute,246246,<me>对<t>行黑涡团军礼。,<me>行黑涡团军礼。,1,NEW
7.4,摆造型,,通常,,/pose,246245,<me>对着<t>摆出了诱人的姿势。,<me>在原地摆出了诱人的姿势。,1,NEW
7.4,自视,,通常,,/examineself,246244,<me>在<t>面前查看自己的样子。,<me>查看自己的样子。,1,NEW
7.4,肯定,,通常,,/thumbsup,246243,<me>向<t>表示肯定。,<me>表示肯定。,1,NEW
7.4,点头,,通常,,/yes,246242,<me>向<t>点头。,<me>原地点头。,1,NEW
7.4,欢迎,,通常,,/welcome,246241,<me>对<t>表示欢迎。,<me>表示欢迎。,1,NEW
7.4,失望,,通常,,/upset,246240,<me>对<t>非常失望。,<me>非常失望。,1,NEW
7.4,思考,,通常,,/think,246239,<me>在想关于<t>的问题。,<me>在思考问题。,1,NEW
7.4,愠怒,,通常,,/sulk,246238,<me>对<t>有些不高兴。,<me>在生闷气。,1,NEW
7.4,伸展,,通常,,/stretch,246237,<me>对<t>伸展身体。,<me>伸了个懒腰。,1,NEW
7.4,迷糊,,通常,,/stagger,246236,<me>对<t>犯起迷糊。,<me>有些迷糊。,1,NEW
7.4,安抚,,通常,,/soothe,246235,<me>安抚<t>。,<me>尝试安抚。,1,NEW
7.4,鼓励,,通常,,/rally,246234,<me>对<t>挥拳表示鼓励。,<me>挥拳表示鼓励。,1,NEW
7.4,耸肩,,通常,,/shrug,246233,<me>对<t>耸肩。,<me>耸了耸肩。,1,NEW
7.4,震惊,,通常,,/shocked,246232,<me>看到<t>非常震惊。,<me>非常震惊。,1,NEW
7.4,敬礼,,通常,,/salute,246231,<me>郑重地向<t>敬礼。,<me>郑重地敬礼。,1,NEW
7.4,激励,,通常,,/psych,246230,<me>激励<t>。,<me>激励自己。,1,NEW
7.4,称赞,,通常,,/congratulate,246229,<me>称赞<t>。,<me>表示称赞。,1,NEW
7.4,戳指,,通常,,/poke,246228,<me>用手指戳向<t>。,<me>伸手戳向前方。,1,NEW
7.4,指向,,通常,,/point,246227,<me>指向<t>。,<me>伸手指向前方。,1,NEW
7.4,慌张,,通常,,/panic,246226,<me>看到<t>很慌张。,<me>非常慌张。,1,NEW
7.4,否定,,通常,,/deny,246225,<me>向<t>表示否定。,<me>表示否定。,1,NEW
7.4,摇头,,通常,,/no,246224,<me>向<t>摇头。,<me>原地摇头。,1,NEW
7.4,展示,,通常,,/me,246223,<me>对<t>展示自己。,<me>在展示自己的存在。,1,NEW
7.4,张望,,通常,,/lookout,246222,<me>在观望<t>附近的情况。,<me>在观望附近的情况。,1,NEW
7.4,大笑,,通常,,/laugh,246221,<me>看着<t>高声大笑。,<me>在捧腹大笑。,1,NEW
7.4,轻笑,,通常,,/chuckle,246220,<me>偷偷笑话<t>。,<me>在偷笑。,1,NEW
7.4,下跪,,通常,,/kneel,246219,<me>向<t>诚心诚意地下跪。,<me>跪下了。,1,NEW
7.4,高兴,,通常,,/joy,246218,<me>向<t>表达自己的喜悦。,<me>很高兴。,1,NEW
7.4,莫名,,通常,,/huh,246217,<me>觉得<t>莫名其妙。,<me>觉得很莫名其妙。,1,NEW
7.4,挥手,,通常,,/wave,246216,<me>向<t>挥手。,<me>原地挥手。,1,NEW
7.4,道别,,通常,,/goodbye,246215,<me>向<t>告别。,<me>表示道别。,1,NEW
7.4,后悔,,通常,,/fume,246214,<me>对<t>表示非常后悔。,<me>十分懊悔。,1,NEW
7.4,打盹,,通常,,/doze,246213,<me>在<t>边上打了个盹。,<me>打了个盹。,1,NEW
7.4,质疑,,通常,,/doubt,246212,<me>对<t>表示质疑。,<me>表示非常不满。,1,NEW
7.4,跳舞,,通常,,/dance,246211,<me>在<t>面前欢快地起舞。,<me>原地起舞。,1,NEW
7.4,哭泣,,通常,,/cry,246210,<me>对<t>流下了眼泪。,<me>痛哭流涕。,1,NEW
7.4,安慰,,通常,,/comfort,246209,<me>安慰<t>。,<me>表示安慰。,1,NEW
7.4,招手,,通常,,/beckon,246208,<me>对<t>招手。,<me>原地招手。,1,NEW
7.4,拍手,,通常,,/clap,246207,<me>向<t>送上掌声。,<me>拍手鼓掌。,1,NEW
7.4,加油,,通常,,/cheer,246206,<me>大声给<t>加油。,<me>大声加油。,1,NEW
7.4,行礼,,通常,,/bow,246205,<me>恭敬地对<t>行礼。,<me>恭敬地行礼。,1,NEW
7.4,害羞,,通常,,/blush,246204,<me>对<t>显出害羞的一面。,<me>很不好意思。,1,NEW
7.4,愤怒,,通常,,/furious,246203,<me>对<t>十分生气。,<me>很愤怒。,1,NEW
7.4,不满,,通常,,/angry,246202,<me>对<t>发泄心中不满。,<me>有些不满。,1,NEW
7.4,惊讶,,通常,,/surprised,246201,<me>对<t>表示惊讶。,<me>有些惊讶。,1,NEW
7.4,表情：幸福,,表情,,/content,246133,<me>对<t>露出了幸福的微笑。,<me>面带幸福的微笑。,1,NEW
7.4,表情：假笑,,表情,,/fakesmile,246132,<me>对<t>露出了虚伪的笑容。,<me>露出了虚伪的笑容。,1,NEW
4.4,表情：忍耐,表情：忍耐,表情,响彻于拂晓之声<br/>主线任务Lv70,/endure,246131,<me>对<t>做出了忍耐的表情。,<me>做出了忍耐的表情。,0
7.4,表情：左飞眼,,表情,,/leftwink,246130,<me>对<t>抛出飞眼。,<me>抛出飞眼。,1,NEW
*,表情：思索,表情：空想,表情,拂晓的少年<br/>主线任务Lv70,/ponder,246129,<me>对<t>做出仿佛正在思索的表情。,<me>做出仿佛正在思索的表情。,0
7.4,表情：苦笑,,表情,,/scoff,246128,<me>对<t>露出了苦笑。,<me>露出了苦笑。,1,NEW
7.4,表情：皱眉,,表情,,/furrow,246127,<me>对<t>皱起了眉。,<me>皱起了眉。,1,NEW
*,表情：沉思,表情：熟考,表情,"各大国防联军的补给负责人处兑换<br/>军票：10,000",/reflect,246126,<me>对着<t>陷入了沉思。,<me>陷入了沉思。,0
*,表情：咧嘴,表情：破顔,表情,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>20,000金碟币",/biggrin,246125,<me>对<t>咧嘴笑了。,<me>咧嘴笑了。,0
7.4,表情：满足,,表情,,/beam,246124,<me>对<t>做出了满足的表情。,<me>做出了满足的表情。,1,NEW
7.4,表情：柔和,,表情,,/simper,246123,<me>对<t>露出了柔和的微笑。,<me>露出了柔和的微笑。,1,NEW
7.4,表情：困惑,,表情,,/disturbed,246122,<me>对<t>做出了困惑的表情。,<me>做出了困惑的表情。,1,NEW
7.4,表情：认真,,表情,,/concentrate,246121,<me>对<t>做出了认真的表情。,<me>做出了认真的表情。,1,NEW
7.4,表情：嘟嘴,,表情,,/puckerup,246120,<me>向<t>索吻。,<me>嘟起了嘴。,1,NEW
7.4,表情：阴险,,表情,,/sneer,246119,<me>阴险地看着<t>。,<me>做出了阴险的表情。,1,NEW
7.4,表情：右飞眼,,表情,,/wink,246118,<me>对<t>抛出飞眼。,<me>抛出飞眼。,1,NEW
7.4,表情：担心,,表情,,/worried,246113,<me>对<t>做出了担心的表情。,<me>做出了担心的表情。,1,NEW
7.4,表情：吃惊,,表情,,/alert,246112,<me>对<t>做出了吃惊的表情。,<me>做出了吃惊的表情。,1,NEW
7.4,表情：反感,,表情,,/annoyed,246111,<me>对<t>做出了反感的表情。,<me>做出了反感的表情。,1,NEW
7.4,表情：痛苦,,表情,,/ouch,246110,<me>对<t>做出了痛苦的表情。,<me>做出了痛苦的表情。,1,NEW
7.4,表情：意外,,表情,,/amazed,246109,<me>对<t>做出了意外的表情。,<me>做出了意外的表情。,1,NEW
7.4,表情：恐怖,,表情,,/scared,246108,<me>充满恐惧地看着<t>。,<me>做出了充满恐惧的表情。,1,NEW
7.4,表情：悲伤,,表情,,/sad,246107,<me>对<t>做出了悲伤的表情。,<me>做出了悲伤的表情。,1,NEW
7.4,表情：闭目,,表情,,/shuteyes,246106,<me>在<t>面前闭上了眼睛。,<me>闭上了眼睛。,1,NEW
7.4,表情：无畏,,表情,,/taunt,246105,<me>对<t>做出了无所畏惧的表情。,<me>做出了无所畏惧的表情。,1,NEW
7.4,表情：自信,,表情,,/smirk,246104,<me>对<t>做出了充满自信的表情。,<me>做出了充满自信的表情。,1,NEW
7.4,表情：笑颜,,表情,,/grin,246103,<me>对<t>露出了笑颜。,<me>露出了笑颜。,1,NEW
7.4,表情：微笑,,表情,,/smile,246102,<me>对<t>露出了微笑。,<me>露出了微笑。,1,NEW
7.4,表情：平常,,表情,,/straightface,246101,<me>面无表情地看着<t>。,<me>面无表情。,1,NEW
